,fname,text,url
0,ok.io pixel vault learn ecosystem IU mintpass 2,"ok.io pixel vault learn ecosystem IU mintpass 2.   MintPass #2 - Pixel Vault Community Handbook   Pixel Vault Community HandbookDashboardNews & UpdatesLearnShare FeedbackSearch⌃KLinksStart HereIntroductionShare Your FeedbackWhat's On⭐️ Dashboard🟠 Inhabitants Stories🟠 Origin Stories: Burn to Claim🟠 UPDAO Voting Dashboad (PRISM)🗞 News & Updates🟢 Completed EventsLearn About Pixel VaultOverviewHistoryEcosystemPUNKSInhabitants UniversePlanetsInhabitants IdentitiesDesignated Observational Travelers (DOTs)SpeciesMintPassMintPass #1MintPass #2Gear Pods$POWPixel Vault Founder's DAOPixel Vault SportsGamificationMerch StoreResourcesOfficial LinksPowered By GitBookMintPass #2​MintPass #2 will be used to receive one of the DOTs: each MintPass #2 can be exchanged for the lowest-tier DOT (Tier 1)they can also be used to upgrade the tier of existing DOTs. There are no details of the upgrade mechanics yet, but it will be “exponentially deflationary”It was distributed for free, for each Planet or Inhabitants Identity held by collectors, with certain bonuses which entitled collectors to additional MintPasses.PreviousMintPass #1NextGear PodsLast modified 4mo agoCopy link ",https://denze.gitbook.io/pixel-vault/learn/ecosystem/IU/mintpass/2
1,ok.io pixel vault ,"ok.io pixel vault .   Introduction - Pixel Vault Community Handbook   Pixel Vault Community HandbookDashboardNews & UpdatesLearnShare FeedbackSearch⌃KLinksStart HereIntroductionShare Your FeedbackWhat's On⭐️ Dashboard🟠 Inhabitants Stories🟠 Origin Stories: Burn to Claim🟠 UPDAO Voting Dashboad (PRISM)🗞 News & Updates🟢 Completed EventsLearn About Pixel VaultOverviewHistoryEcosystemGamificationMerch StoreResourcesOfficial LinksPowered By GitBookIntroductionYour guide to Pixel VaultWhat is this?Hi, I'm denze 👋🏻 I created this handbook to help anyone understand & keep up with the Pixel Vault (PV) ecosystem. PV is often seen as being too complex and too overwhelming for both new & existing collectors, so my goal is to make things easier.Think of this as:1.a quick-reference guide to everything you'd want to know about the PV ecosystem; and2.a way to keep up with current events & things you need to doThings change quickly so I'll do my best keeping it up to date, but if I'm missing things, or you have any feedback / ideas, let me know here or DM me on Twitter!Disclaimer: This is a community-created resource, NOT an official Pixel Vault resourceNothing in this handbook is investment adviceHow to use this Handbook:​Learn about Pixel Vault, if you're new or if you need a refresherCheck out What's On, to keep up with the latest news & announcements​Share any feedback / ideas that you have​Next - Start HereShare Your FeedbackLast modified 8mo agoCopy linkOn this pageWhat is this?How to use this Handbook: ",https://denze.gitbook.io/pixel-vault/
2,ok.io pixel vault learn gamification MHU mintpass1,"ok.io pixel vault learn gamification MHU mintpass1.   MintPass #1: Burn or Hold - Pixel Vault Community Handbook   Pixel Vault Community HandbookDashboardNews & UpdatesLearnShare FeedbackSearch⌃KLinksStart HereIntroductionShare Your FeedbackWhat's On⭐️ Dashboard🟠 Inhabitants Stories🟠 Origin Stories: Burn to Claim🟠 UPDAO Voting Dashboad (PRISM)🗞 News & Updates🟢 Completed EventsLearn About Pixel VaultOverviewHistoryEcosystemGamificationCollector SetsGamification of PUNKSGamification of the Inhabitants UniverseMintPass #1: Burn or HoldMerch StoreResourcesOfficial LinksPowered By GitBookMintPass #1: Burn or Hold​MintPass #1 is the ticket to getting an Inhabitants Identity. Pixel Vault has given holders 2 choices:burn the MintPass and receive a Generative; orhold onto it for the chance of winning one of 144 Cores, which are raffled out in groups of 12Burn vs. HoldAt first glance, it seems obvious that you should test your luck for a Core. However, PV doesn’t make it that easy. There have been a lot of benefits to holding a Generative:1 free Planet DAO token; dependent on the planetary origin of the Generative, which is randomly assigned at mint2 free MintPass #2 (1 for holding the Identity, and 1 for holding the free Planet)the option to stake for $POW, the in-game currency of the Inhabitants ecosystem. 20% of the 1 billion $POW tokens was set aside for those staking their Inhabitants Identitieseligibility to mint Gear Pods and participate in raffles as part of POWer Up Summer it's part of the Genesis Set​Just as with PUNKS Comic #1, PV forces collectors to make decisions based on their preferences and risk appetite, e.g.do you burn your MintPass to see if you’ll get a rare Generative, and the chance to claim a rarer planet?do you want the guaranteed benefits of having a Generative, or do you give those up for the chance at winning a Core?do you want to participate in POWer Up Summer to build your supply of Gear Pods and get the chance to win the MintPass #2 raffles?do you want to have a Genesis Set, and the potential perks that may come from it, or do you prefer the guaranteed rewards from having a Generative?and the game theory element - if more people are burning their MintPass #1, the odds of winning a Core increase, so do you continue to hold?OutcomeThere is no expiry date for when MintPass #1 can be burned for a Generative, so this game has been ongoing since since August 2021. It’s hard to know if/when it’ll end given the chance of winning a Core, and the potential rewards for holding a Genesis Set.The final Core raffle was completed on 21 Oct 2022.PreviousGamification of the Inhabitants UniverseNext - Learn About Pixel VaultMerch StoreLast modified 4mo agoCopy linkOn this pageBurn vs. HoldOutcome ",https://denze.gitbook.io/pixel-vault/learn/gamification/MHU/mintpass1
3,ok.io pixel vault whats on complete elite ape comic,"ok.io pixel vault whats on complete elite ape comic.   🟢 Elite Ape Comic: Apes Out on the Town - Pixel Vault Community Handbook   Pixel Vault Community HandbookDashboardNews & UpdatesLearnShare FeedbackSearch⌃KLinksStart HereIntroductionShare Your FeedbackWhat's On⭐️ Dashboard🟠 Inhabitants Stories🟠 Origin Stories: Burn to Claim🟠 UPDAO Voting Dashboad (PRISM)🗞 News & Updates🟢 Completed Events🟢 Community Content Challenge🟢 POWer Up Summer🟢 Elite Ape Comic: Apes Out on the TownLearn About Pixel VaultOverviewHistoryEcosystemGamificationMerch StoreResourcesOfficial LinksPowered By GitBook🟢 Elite Ape Comic: Apes Out on the TownEverything you need to know about the Apes Out on the Town comicThe mint window for the Elite Ape Comic and the commemorative NFT for Ape Madness participants closed at 5pm EDT on Thursday 28 July 2022.On this page, you'll find:​context behind the Apes Out on the Town comic​details of the mint mechanicsuseful resources​ContextApes Out on the Town is a comic following the story of the Elite Apes. Who are the Elite Apes?In June 2021, shortly after releasing PUNKS Comic #1, Pixel Vault held a bracket style competition called Ape Madness:the Bored Ape Yacht Club community submitted names and backstories of their ApesPixel Vault narrowed down the submissions to 64PUNKS Comic #1 holders voted on their favourites over 3 rounds, ultimately leaving 8 winners - the Elite Apes All participants of Ape Madness were eligible to claim a commemorative NFT illustrated by Chris WahlHere's the official synopsis:In their constant pursuit of relieving boredom, a small crew of apes travel to Origin City for a night out on the town. Readers of PUNKS #2 will recognize the familiar faces of Hanzo, Lone Star, Kiki, Biz, Tropo, Gold-Rilla, King Blackbored, and BBA as they all try to help a blacked-out Biz retrace his steps from the previous night’s adventures. (source)​Mint MechanicsWhat you need to know:Deadline: minting for the comic opened until 5pm EDT on Thursday 28 July 2022Price: Free, but you need to burn 1 Elite Ape Entry Coin for each comicAvailable Supply: maximum supply is limited to 13,328 (i.e. the number of Elite Ape Entry Coins available when the mint window opened)What is an Elite Ape Entry Coin?Elite Ape Entry Coins are NFTs which Pixel Vault distributed to holders of Pixel Vault and/or Bored Ape Yacht Club assets, for the release of the Elite Ape Collector's Editions of PUNKS Comic #2. It acted as a raffle ticket for the opportunity to mint the Collector's Editions, and to mint, collectors needed to burn their Entry Coin. The original 19,328 supply of Entry Coins was reduced to 13,328 after the Elite Ape Collector's Edition mint.ResourcesOfficial announcementPUNKS by Pixel VaultOfficial Mint LinkPrevious🟢 POWer Up SummerNext - Learn About Pixel VaultOverviewLast modified 5mo agoCopy linkOn this pageContextMint MechanicsResources ",https://denze.gitbook.io/pixel-vault/whats-on/complete/elite-ape-comic
4,ok.io pixel vault whats on complete content challenge#submission guidelines,"ok.io pixel vault whats on complete content challenge#submission guidelines.   🟢 Community Content Challenge - Pixel Vault Community Handbook   Pixel Vault Community HandbookDashboardNews & UpdatesLearnShare FeedbackSearch⌃KLinksStart HereIntroductionShare Your FeedbackWhat's On⭐️ Dashboard🟠 Inhabitants Stories🟠 Origin Stories: Burn to Claim🟠 UPDAO Voting Dashboad (PRISM)🗞 News & Updates🟢 Completed Events🟢 Community Content Challenge🟢 POWer Up Summer🟢 Elite Ape Comic: Apes Out on the TownLearn About Pixel VaultOverviewHistoryEcosystemGamificationMerch StoreResourcesOfficial LinksPowered By GitBook🟢 Community Content ChallengeEverything you need to know about the first Community Content ChallengeThe 1st Community Content Challenge has now ended. Submissions closed on 1 Sep 2022 and winners were announced on 16 Sep 2022.On this page, you'll find:​context behind the Community Content Challengedetails of challenge #1​useful resources​ContextOn 11 June 2022, members of the Pixel Vault Founder's DAO voted to create a community generated content program. The goal of the program is to encourage and reward the development of community content, to help educate and grow the Pixel Vault community. As part of the program, a reward pool of 200 MintPass #2s has been created:50 MintPass #2 has been allocated to the challenge #1, focused on the PUNKS ecosystemChallenge #1: PUNKStl;drGuidelinesRewardsWinnersWhat you need to knowThe Challenge: create content that helps educate and/or promote the PUNKS Comic ecosystem​Who can participate? Anyone!How do I make a submission? Submit your content to [email protected]When do I need to submit by? September 1, 2022Can I make more than 1 submission? Yes!What are the rewards? 50 MintPass #2 will be rewarded to the top 10 submissionsHow will winners be selected? This will happen in 2 phases:1) The Pixel Vault Founder's DAO Communications Committee + a few selected community members will curate a list of the top 10 submissions2) PVFD members will rank the submissions from 1-10. Note: each member will only have 1 vote - it is not weighted by the number of Founder's DAO token held.The ChallengeCreate content that helps educate and/or promote the PUNKS Comic ecosystem. This includes:​PUNKS Comic #1-3​​PUNKS Comic #2: Elite Ape Collector Editions​​$PUNKS token​​The 16 PUNKS​​Origin Stories​the upcoming PUNKS PFP (see Coming Soon section of Dashboard)​Eligible Content""Submit whatever type of content you like! Infographics, YouTube videos, data dashboards, memes, a Twitter space series, published articles, etc. The type of content you submit is open to your imagination!"" Rules1.Content must be created by you2.You can collaborate with others, but only a single address can be associated with a submission and subsequent rewards. Reward Structure50 MintPass #2 (MP2) will be rewarded to the top 10 submissions. They will be distributed in a tiered format according to the vote of the community:1st place: 20 MP22nd place: 10 MP23rd - 5th places: 5 MP2 each6th - 10th places: 1 MP2 eachSubmissions & WinnersIn total, there were 10 submissions: view them all here.these were voted upon by the Pixel Vault Founder's DAO token holders.winners and rewards were announced in September 2022:​ResourcesSnapshotThe details of the initial proposalCommunity Content Challenge #1: Punks Comic UniverseMediumThe official announcement of Challenge #1What's On - Previous🟢 Completed EventsNext🟢 POWer Up SummerLast modified 5mo agoCopy linkOn this pageContextChallenge #1: PUNKSResources ",https://denze.gitbook.io/pixel-vault/whats-on/complete/content-challenge#submission-guidelines
5,ok.io pixel vault learn ecosystem IU mintpass,"ok.io pixel vault learn ecosystem IU mintpass.   MintPass - Pixel Vault Community Handbook   Pixel Vault Community HandbookDashboardNews & UpdatesLearnShare FeedbackSearch⌃KLinksStart HereIntroductionShare Your FeedbackWhat's On⭐️ Dashboard🟠 Inhabitants Stories🟠 Origin Stories: Burn to Claim🟠 UPDAO Voting Dashboad (PRISM)🗞 News & Updates🟢 Completed EventsLearn About Pixel VaultOverviewHistoryEcosystemPUNKSInhabitants UniversePlanetsInhabitants IdentitiesDesignated Observational Travelers (DOTs)SpeciesMintPassMintPass #1MintPass #2Gear Pods$POWPixel Vault Founder's DAOPixel Vault SportsGamificationMerch StoreResourcesOfficial LinksPowered By GitBookMintPassWhat is a MintPass?MintPasses are essentially a reservation system for NFTs. You can think of it as unopened trading card packs - you know there’s a trading card (or in our case, an NFT) inside, but you don’t know what it is until you open it.Prior to MintPasses, new launches of NFT projects were first-come, first-serve. This was problematic at the time because:to make transactions on a blockchain like Ethereum, users pay transaction fees (i.e. gas fees)while there’s a limit to the number of transactions which can be processed in each block, users can choose to pay extra for their transaction to be prioritisedfirst-come, first-serve NFT launches created a dynamic where users would choose to pay high amounts of fees in a rush to mint their NFT before the supply ran out, also known as a gas warGas wars favour those with the most capital, so Pixel Vault conceptualised the MintPass in July 2021 to enable more fair & equitable NFT drops. The concept was quick to be adopted by other teams and is now extremely common.Pixel Vault MintPasses include:​MintPass #1, the ticket to getting Inhabitants Identities​​MintPass #2, the ticket to getting DOTs​There were provided for free or at a low cost to existing holders of PV assets, as a reward for their support.PreviousSpeciesNextMintPass #1Last modified 4mo agoCopy link ",https://denze.gitbook.io/pixel-vault/learn/ecosystem/IU/mintpass
6,ok.io pixel vault whats on origin stories,"ok.io pixel vault whats on origin stories.   🟠 Origin Stories: Burn to Claim - Pixel Vault Community Handbook   Pixel Vault Community HandbookDashboardNews & UpdatesLearnShare FeedbackSearch⌃KLinksStart HereIntroductionShare Your FeedbackWhat's On⭐️ Dashboard🟠 Inhabitants Stories🟠 Origin Stories: Burn to Claim🟠 UPDAO Voting Dashboad (PRISM)🗞 News & Updates🟢 Completed EventsLearn About Pixel VaultOverviewHistoryEcosystemGamificationMerch StoreResourcesOfficial LinksPowered By GitBook🟠 Origin Stories: Burn to ClaimEverything you need to know about the Origin Stories burn-to-claim mechanicThe burn-to-claim window for Origin Stories Issue 4 is open for all holders of:Origin Stories Issue 1Origin Stories Issue 2Origin Stories Issue 3If you want, you can burn your Issue 1, 2 or 3 for Issue 4. The claim window is open until the release of Origin Stories Issue 5 (Date TBC)Link: https://app.punkscomic.com/os4​On this page, you'll find:​context behind the gamification of Origin Stories​details of the game/mint mechanicsuseful resources​ContextPixel Vault has gamified the experience of collecting Set 1 of Origin Stories (Issues 1-8), with a burn-to-claim mechanic.What are Origin Stories?​Origin Stories are a series of short (~5 page) comics which explore the back stories of 16 PUNKS characters, letting us take the time to get to know them outside of the PUNKS Comic series. It'll be released in two sets:Set 1: Issues 1-8Set 2: Issues 9-16GamificationHere's how it works: Origin Stories Issue 1 was dedicated to the Pixel Vault Founder's DAO (PVFD), so the total supply was originally 5,902 (in line with the number of PVFD tokens)For Origin Stories Issues 2-8, each new issue can only be claimed by collectors who burn one of the previous issues, during a limited time window that's open until the release of the following issue. This means the total supply of all 8 Origin Stories Set 1 NFTs is 5,902. For example:When Issue 4 is released, all holders of Issues 1-3 are able to burn their NFTs to receive Issue 4. When Issue 5 is released, the claim for Issue 4 will be closed, and the maximum supply of Issue 4 will be set. From that point onwards, it'll be deflationary as it can be burnt for Issues 5-8Holders of the full Set 1 (Issues 1-8) will receive a physical premium bound copy of all 8 issuesCollectors have a lot of decisions to make:do they want to collect the full set of 8 to be eligible to receive the physical? Keep in mind, given the supply of Origin Stories Set 1 is fixed to 5,902, there can only be a maximum of 737 full sets, which makes the physical quite scarceif not, do they want to hold onto the issue they have, or burn to claim a new issue? What if there's a character or guest artist that they resonate with in the new issue?and the game theory - in each of the 7 burn windows, the supply of previous issues will be decreasing as they're burnt for the current issue. Which issue will become most scarce? How does that affect the value and rarity of the issue that they hold?ResourcesOrigin Stories, Issue #2 — What you Need to Know + Meet Guest Artist Siya OumMediumWhat's On - Previous🟠 Inhabitants StoriesNext - What's On🟠 UPDAO Voting Dashboad (PRISM)Last modified 4mo agoCopy linkOn this pageContextGamificationResources ",https://denze.gitbook.io/pixel-vault/whats-on/origin-stories
7,ok.io pixel vault whats on complete POWerUpSummer,"ok.io pixel vault whats on complete POWerUpSummer.   🟢 POWer Up Summer - Pixel Vault Community Handbook   Pixel Vault Community HandbookDashboardNews & UpdatesLearnShare FeedbackSearch⌃KLinksStart HereIntroductionShare Your FeedbackWhat's On⭐️ Dashboard🟠 Inhabitants Stories🟠 Origin Stories: Burn to Claim🟠 UPDAO Voting Dashboad (PRISM)🗞 News & Updates🟢 Completed Events🟢 Community Content Challenge🟢 POWer Up Summer🟢 Elite Ape Comic: Apes Out on the TownLearn About Pixel VaultOverviewHistoryEcosystemGamificationMerch StoreResourcesOfficial LinksPowered By GitBook🟢 POWer Up SummerEverything you need to know about POWer Up SummerPOWer Up Summer ended on 14 Sep 2022. Originally, Pixel Vault planned to allow multiple Gear Pod mints, with multiple sets of Nebula Gear Pod and MintPass 2 raffles. However, due to delays from organising the make-up mint, and a lack of clarity around what Gear Pods are for, POWer Up Summer ended after one set of raffles.On this page, you'll find:​context behind POWer Up Summer​details of the game mechanicsa timeline of events so far, to help you make sense of what's going onuseful resources​ContextHolders of MetaHero Identities had the option to stake for $POW over a 6-month period which ended on June 5, 2022. After this staking period ended, Pixel Vault launched POWer Up Summer to continue gamifying the experience of being a MetaHero Identity holder and to allow holders to prepare their MetaHeroes for the many games to come.In the context of the MetaHero Universe, POWer Up Summer is the beginning of a peace treaty between the MetaHeroes and DOTs, which gives MetaHeroes an opportunity to ""assemble a fleet of DOTs"" to ""promote interplanetary co-operation, expansion and discovery"".This leads to the DOTs distributing Gear Pods to MetaHeroes:What is a Gear Pod?Gear Pods are ""critical supplies"" that the DOTs are deploying to MetaHeroes to help them power up and explore the MetaHero Universe. The contents (gear) of the Gear Pods will be revealed when the Gear Pods are burned in-game. The rarity of the gear will vary with the different pods. There are 3 different types of pods:Astral Gear Pod - most commonCosmic Gear Pod - rarer than Astral, with planet-specific variations. All MetaHeroes will be able to use any gear, regardless of their planet of origin.Nebula Gear Pod - extremely rareGamificationThere are 3 key elements to POWer Up Summer. Here's how it works:1) Gear Pod mintingHolders of at least 1 MetaHero Identity AND at least 1 Planet are eligible to mint Gear Pods:What you need to know: each MetaHero Identity can be paired with up to 3 separate planet tokens, allowing holders to mint up to 3 Gear Pods per MetaHero held. There are 3 possible combinations:1 MetaHero + 1 mismatching, non-origin Planet = Astral Gear Pod1 MetaHero + 1 matching, origin Planet = Cosmic Gear Pod ({insert Planet})1 MetaHero + 1 Moon = Cosmic Gear Pod (Moon)each Gear Pod can be minted for 2000 $POW​A chart showing the 3 possible Metahero-Planet pairs (source)​2) Nebula Gear Pod distribution & rafflesNebula Gear Pods can't be minted, instead:1 Nebula Gear Pod will be given to collectors, for each of the following Pixel Vault assets they hold:​MetaHero Core Identity​​PUNKS Comic #1: Special Edition​​Planet DAO Set​holders of at least 1 Astral OR 1 Cosmic Gear Pod are entered into raffles to win Nebula Gear Pods. Each Astral or Cosmic Gear Pod acts as 1 ticket into the raffle. The total number of Nebula Gear Pods raffled out will be 2% of the total Astral Gear Pod supply + 5% of the total Cosmic Gear Pod supply3) MintPass #2 rafflesHolders of at least 1 MetaHero Identity AND at least 1 Gear Pod (any of the 3 types) are eligible for raffles to win MintPass #2.What you need to know: for the raffle, each Gear Pod will provide different numbers of entries into the raffle (see below)holding at least 1 MetaHero Identity with type = Hero will 3x your number of entries Gear Pod raffle entriesAstral Gear Pod: 1Cosmic Gear Pod (Jupiter): 2Cosmic Gear Pod (Saturn): 2Cosmic Gear Pod (Neptune): 2Cosmic Gear Pod (Uranus): 2Cosmic Gear Pod (Pluto): 3Cosmic Gear Pod (Mars): 4Cosmic Gear Pod (Venus): 5Cosmic Gear Pod (Earth): 5Cosmic Gear Pod (Mercury): 6Cosmic Gear Pod (Moon): 7Nebula Gear Pod: 7Note for Collectors:Whether you can mint Gear Pods, and which ones you can mint, is determined based on snapshots of wallet holdings at particular times. There are multiple Gear Pod mints which means multiple snapshots will be taken throughout POWer Up Summer.Staked MetaHeroes were captured for the 1st snapshot & Gear Pod mint window. They need to be unstaked by 6/30/22 at 11:59 pm EST to qualify for future Gear Pod mints and the MintPass 2 raffle.TimelineHere's everything you need to know about POWer Up Summer:DOT-MetaHero Peace TreatyPOWer Up Summer began with a transmission from the DOTs (transcript below)Transcript*INCOMING INTERPLANETARY COMMUNICATION*​SENDER: THE INGENIOUS AND POWERFUL DOTSMESSAGE ORIGIN: MOONFOR: METAHERO REPRESENTATIVE, ON BEHALF OF EARTHSUBJECT: TREATY OF PEACE WITH THE TOLERABLE METAHEROES​*TRANSMISSION START*​THE CONTRACTING PARTIES, In order topromote interplanetary co-operation,expansion and discovery, and toachieve interplanetary peace andsecurity, Agree to this Covenant.​THE DOTS HEREBY PLEDGE​1. Cessation of hostilities immediatelyupon signing; satelities and otherorbital weapons systems to be placedon standby; resume provisional access tocritical infrastructure.​2. AID AND SUPPORT of INTERPLANETARY DOT VOLUNTEERS for impacted METAHEROES as""REPARATIONS"" for lives lost during the""MISUNDERSTANDING"".​3. Return of critical supplies to METAHEROESfor interplanetary exploration. Pendingshipping costs.​THE METAHEROES HEREBY PLEDGE​1. Immediate establishment of free and continuedpassage for all DOTs to and from the MOON.​2. The establishment of a free market of POWbetween METAHEROES and DOTs​In the event of the BARELY, SCARCELY TOLERABLEMETAHEROES not fulfilling these obligations, DOTsreserve all rights to ~oblit~ ~annih~ take mili​*TRANSMISSION TERMINATED* Rules of EngagementThis was followed by the release of the Rules of Engagement, which introduced the concept of Gear Pods and teased the mechanics MintPass #2 raffles.Gear Pod Mint #1The 1st Gear Pod mint window was open for 72 hours, based on a snapshot taken on June 15, 2022 at 12:00 pm EST (block 14968339)Gear Pod Mint #1 (Make-Up Mint)A make-up mint was opened on 27 July 2022 for collectors who:had their Metahero Identities & Planets split across multiple wallets, and filled out a form for Pixel Vault to manually determine eligibility; orwere unable to mint during the original mint window due to travels, given it clashed with NFT NYCNebula Gear Pod Airdrop897 Nebula Gear Pods were distributed via an airdrop on 4 Aug 2022. Details of how these were distributed are here.MintPass 2 Airdrop2,000 MintPass 2's were distributed via an airdrop on 14 September 2022. This airdrop marked the end of POWep UP Summer.ResourcesPOWer-Up Summer FAQMediumPrevious🟢 Community Content ChallengeNext🟢 Elite Ape Comic: Apes Out on the TownLast modified 5mo agoCopy linkOn this pageContextGamification1) Gear Pod minting2) Nebula Gear Pod distribution & raffles3) MintPass #2 rafflesTimelineDOT-MetaHero Peace TreatyRules of EngagementGear Pod Mint #1Gear Pod Mint #1 (Make-Up Mint)Nebula Gear Pod AirdropMintPass 2 AirdropResources ",https://denze.gitbook.io/pixel-vault/whats-on/complete/POWerUpSummer
8,ok.io pixel vault learn overview#build web3 idea legos,"ok.io pixel vault learn overview#build web3 idea legos.   Overview - Pixel Vault Community Handbook   Pixel Vault Community HandbookDashboardNews & UpdatesLearnShare FeedbackSearch⌃KLinksStart HereIntroductionShare Your FeedbackWhat's On⭐️ Dashboard🟠 Inhabitants Stories🟠 Origin Stories: Burn to Claim🟠 UPDAO Voting Dashboad (PRISM)🗞 News & Updates🟢 Completed EventsLearn About Pixel VaultOverviewHistoryEcosystemGamificationMerch StoreResourcesOfficial LinksPowered By GitBookOverviewA high level overview of Pixel VaultWhat is Pixel Vault?​Pixel Vault (PV) is one of the most complex ecosystems in the NFT space. It was founded in May 2021 by Sean Gearin (a.k.a GFunk). Since then, it has become one of the most ambitious companies in web3, looking to:redefine the future of storytelling, media & entertainment, gaming and sports; andbuild universes as big and as compelling as Disney and MarvelGFunk: ""Pixel Vault’s greatest differentiator is our team. Bull market or bear, we are a team of builders, relentlessly dedicated to telling great stories and embracing new technology for and alongside our community. We have never been more motivated than we are today."" (source: From the Desk: An Open Letter to the Pixel Vault Community)​To make sense of Pixel Vault:​understand how and why they do what they do ​get to know their history & key partnerships​​learn the core purpose and value of each individual asset within their ecosystem​​explore how everything fits together by diving into Pixel Vault's gamification of their ecosystem assets​The Pixel Vault rabbit hole is constantly getting deeper, so once you've done all that - check out What's On to stay up to speed.Understanding Pixel VaultThe Pixel Vault ecosystem is complicated. Because of that, it’s important to understand how PV thinks about building their products, and designing experiences.There are 3 aspects which make Pixel Vault, Pixel Vault.​they're committed to storytelling & empowering their fans to own and build alongside them​​a desire to make every step of the way fun for collectors​​they're relentlessly pushing the boundaries of what's possible with web3 tech ​Develop crypto-native IP assets, and tell their storiesPixel Vault's ambition is to build universes as big and as compelling as Disney and Marvel. They’re doing this through the power of storytelling, and across a broad range of channels. Think: comics, television, movies, video games, consumer goods, real-life experiences and much more. However, there’s one major difference between Pixel Vault & Disney: PV is building with web3 technologies & principles.GFunk: “We do not look at the fan as the customer. Our fans are the owner and the builder.” (source: Pixel Vault banks $100 million in funding to chase an NFT media empire)​To break that down:Fans as owners: PV develops “crypto-native IP assets” in the form of non-fungible tokens (NFTs). They wants their IP assets to be owned by their fans. That way, the success of PV in building a broad fan-base through the stories they tell and the media they create, is the fan’s success as well (as value accrues to the IP assets over time)Fans as builders: IP assets in traditional media companies are tightly protected. However, PV wants to build alongside their fans, rather than treating them as customers and passive consumers of their media. For example, PV will let their fans contribute to stories, and also give full commercial rights to owners of some of their IP assets. Since fans are owners, they’re incentivised to help build with PVGFunk: We’re an IP business leveraging next generation technologies. We’re still approaching IP in a way that’s very similar to what these legacy institutions are doing, but we’re doing it in a way that actually benefits the broader community. This collective mind of our community all working together to develop this IP is going to be tremendously disruptive to legacy institutions. You’ve seen Amazon and Netflix already disrupt what the traditional studios were doing, and I think this is the next logical progression of where that’s going. (source: Comicman: The Exclusive Interview)​Make web3 funOne thing Pixel Vault has become renowned for, is gamifying the collector experience. For the nitty-gritty details of this, check out the Gamification section. Otherwise, just know this:PV wants each person’s collection of their assets to reflect their own decisions - based on their unique personality, personal preferences and risk appetite. Being one of their collectors is like being a part of the game that is Pixel Vault, orchestrated by GFunk and his team.This all stems from GFunk’s desire to create an active, engaged and fun collector experience:GFunk: At the end of the day, NFTs should be fun. If it's not bringing a smile to your face, you're doing something wrong (source: Every Punk has a story: GFunk and the PUNKS Comic | PROOF)​It’s a lot of - do you do Option 1 because of X & Y, or Option 2 because of Z. In the first instance, it may seem like one option is clearly better. But then there’s the game theory element. What if more people go with Option 2, does Option 1 start to become preferable? And then what if Option 3 is unexpectedly introduced?!Also, PV is thinking more broadly than just the collector experience. They want to make participating in the web3 ecosystem more fun and easy in general, for example, by gamifying DAO participation to incentivise engagement.Build web3 idea legos​Packy McCormick, who writes Not Boring, talks about the concept of idea legos. He argues that in web3, every new experiment is a building block for the future; a lego piece that anyone can pick up and use. Even if the things being built look silly or stupid, everything helps to compound human knowledge, enabling us to build faster & potentially solve more and more complex problems.Pixel Vault are constantly building new idea legos which solve problems within the space, and push the boundaries of what’s possible using web3 tech. These legos not only enable PV themselves to build faster and create new experiences, but it helps the broader space too. For example:​developing stories behind NFTs through PUNKS Comic​creation of MintPasses avoid gas warsreleasing a high supply of planet DAO tokens, in a context where 10,000 supply NFT collections were the normcreating an on-chain queue system to distribute PUNKS Comic #2: Elite Ape Collector's Editions​Previous🟢 Elite Ape Comic: Apes Out on the TownNext - Learn About Pixel VaultHistoryLast modified 9mo agoCopy linkOn this pageWhat is Pixel Vault?Understanding Pixel VaultDevelop crypto-native IP assets, and tell their storiesMake web3 funBuild web3 idea legos ",https://denze.gitbook.io/pixel-vault/learn/overview#build-web3-idea-legos
9,ok.io pixel vault learn ecosystem IU mintpass 1,"ok.io pixel vault learn ecosystem IU mintpass 1.   MintPass #1 - Pixel Vault Community Handbook   Pixel Vault Community HandbookDashboardNews & UpdatesLearnShare FeedbackSearch⌃KLinksStart HereIntroductionShare Your FeedbackWhat's On⭐️ Dashboard🟠 Inhabitants Stories🟠 Origin Stories: Burn to Claim🟠 UPDAO Voting Dashboad (PRISM)🗞 News & Updates🟢 Completed EventsLearn About Pixel VaultOverviewHistoryEcosystemPUNKSInhabitants UniversePlanetsInhabitants IdentitiesDesignated Observational Travelers (DOTs)SpeciesMintPassMintPass #1MintPass #2Gear Pods$POWPixel Vault Founder's DAOPixel Vault SportsGamificationMerch StoreResourcesOfficial LinksPowered By GitBookMintPass #1​MintPass #1 is the ticket to getting a Inhabitants Identity:they be exchanged for a Generative, at any point in timeeach MintPass #1 also acted as a raffle ticket for a chance to win one of the Cores. The raffles ended on 21 Oct 2022.Read More: the burn or hold decision for MintPass #1. It was reserved for purchase by PUNKS Comic #1 holders, for a cost of 0.08 ETH.PreviousMintPassNextMintPass #2Last modified 4mo agoCopy link ",https://denze.gitbook.io/pixel-vault/learn/ecosystem/IU/mintpass/1
